strain	virus	date	accesion	host	country	region	db	segment	url	
pXHY0202-2_china_2006	CABYV	2006-XX-XX	EU091151.1	Bottle gourd	China	Beijing	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/EU091151.1	
pXHY030-7_china_2006	CABYV	2006-XX-XX	EU091150.1	Watermelon 	China	Beijing	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/EU091150.1	
pXHY0207-1_china_2006	CABYV	2006-XX-XX	EU091149.1	Melon	China	Beijing	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/EU091149.1	
pXHY1030-10_china_2006	CABYV	2006-XX-XX	EU091148.1	Momordica charantia	China	Beijing	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/EU091148.1	
CABYV-CHN_China_2006	CABYV	2006-XX-XX	EU000535.1	Cushaw	China	Beijing	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/EU000535.1	
pM060925-15_china_2007	CABYV	2007-XX-XX	EU262631.1	Zucchini	China	Liaoning	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/EU262631.1	
pM061016-3_china_2007	CABYV	2007-XX-XX	EU262628.1	Zucchini	China	Inner Mongolia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/EU262628.1	
pM071015-1_china_2007	CABYV	2007-XX-XX	EU259785.1	Suakwa	China	Jiangxi	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/EU259785.1	
pM070928-2_china_2007	CABYV	2007-XX-XX	EU259784.1	Suakwa	China	Guangdong	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/EU259784.1	
pM071015-3_china_2007	CABYV	2007-XX-XX	EU244327.1	Cucumber	China	Guangxi	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/EU244327.1	
pM071015-2_china_2007	CABYV	2007-XX-XX	EU244326.1	Zucchini	China	Guangxi	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/EU244326.1	
pM071009-2_china_2007	CABYV	2007-XX-XX	EU244325.1	Suakwa	China	Henan	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/EU244325.1	
pM071009-1_china_2007	CABYV	2007-XX-XX	EU244324.1	Zucchini	China	Henan	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/EU244324.1	
pM071008-2_china_2007	CABYV	2007-XX-XX	EU244323.1	Zucchini	China	Tianjin	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/EU244323.1	
pM070919-1_china_2007	CABYV	2007-XX-XX	EU244322.1	Zucchini	China	Hunan	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/EU244322.1	
pM070917-1_china_2006	CABYV	2006-XX-XX	EU244321.1	Zucchini	China	Heilongjiang	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/EU244321.1	
pM070917-2_china_2007	CABYV	2007-XX-XX	EU244320.1	Zucchini	China	Sichuan	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/EU244320.1	
pM070910-5_china_2007	CABYV	2007-XX-XX	EU244319.1	Zucchini	China	Shanxi	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/EU244319.1	
pM070823-5_china_2007	CABYV	2007-XX-XX	EU244318.1	Zucchini	China	Shandong	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/EU244318.1	
pM070910-4_china_2007	CABYV	2007-XX-XX	EU244316.1	Melon	China	Xinjiang	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/EU244316.1	
pM070820-2_china_2007	CABYV	2007-XX-XX	EU244315.1	Melon	China	Xinjiang	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/EU244315.1	
EU030629.1_taiwan_2007	CABYV	2007-XX-XX	EU030629.1	Cucumber	Taiwan	Taiwan	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/EU030629.1	
Yunnan_china_2007	CABYV	2007-XX-XX	EF488997.1	Cucucrbit	China	Yunnan	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/EF488997.1	
Hubei_china_2007	CABYV	2007-XX-XX	EF488996.1	Cucucrbit	China	Hubei	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/EF488996.1	
157-08_serbia_2008	CABYV	2008-XX-XX	JF303079.1	Pumpkin	Serbia	Serbia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JF303079.1	
CABYV-R-TW9_taiwan_2008	CABYV	2008-XX-XX	GU324104.1	Benincasa hispida	Taiwan	Tainan County	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/GU324104.1	
CABYV-C-TW8_taiwan_2008	CABYV	2008-XX-XX	GU324103.1	Pumpkin	Taiwan	Tainan County	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/GU324103.1	
CABYV-R-TW6_taiwan_2008	CABYV	2008-XX-XX	GU324101.1	Pumpkin	Taiwan	Tainan County	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/GU324101.1	
CABYV-R-TW27_taiwan_2008	CABYV	2008-XX-XX	GU324097.1	Zucchini	Taiwan	Tainan County	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/GU324097.1	
CABYV-C-TW20_taiwan_2008	CABYV	2008-XX-XX	GU324095.1	Momordica charantia	Taiwan	Kaohsiung County	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/GU324095.1	
IR-3_iran_2008	CABYV	2008-XX-XX	FJ428800.1	squash	Iran	Tehran	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/FJ428800.1	
IR-2_iran_2008	CABYV	2008-XX-XX	FJ428799.1	melon	Iran	Esfahan	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/FJ428799.1	
IR-1_iran_2008	CABYV	2008-XX-XX	FJ428798.1	squash	Iran	Khorasan	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/FJ428798.1	
SK-1_slovakia_2008	CABYV	2008-XX-XX	FJ428797.1	cucumber	Slovakia	Slovakia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/FJ428797.1	
CABYV-JX_china_2008	CABYV	2008-XX-XX	FJ460216.1	Cucurbit	China	Jiangxi	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/FJ460216.1	
CABYV-AH_china_2008	CABYV	2008-XX-XX	FJ460214.1	Cucumber	China	Anhui	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/FJ460214.1	
CABYV-FJ_china_2008	CABYV	2008-XX-XX	FJ425880.1	Zucchini	China	Fujian	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/FJ425880.1	
CABYV-BJ_china_2008	CABYV	2008-XX-XX	FJ425879.1	Cucumber	Japan	Japan	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/FJ425879.1	
145-08_serbia_2008	CABYV	2008-XX-XX	HQ202745.1	Zucchini	Serbia	Serbia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/HQ202745.1	
CABYV-USA_usa_2008	CABYV	2008-XX-XX	GU002335.1		USA	USA	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/GU002335.1	
CABYV-CHINA_china_2008	CABYV	2008-XX-XX	EU636992.1	Melon	China	Xinjiang	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/EU636992.1	
CABYV-C-TW20_Taiwan_2008	CABYV	2008-XX-XX	JQ700305.1		Taiwan	Kaohsiung County	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JQ700305.1	
CABYV-R-TW82_taiwan_2009	CABYV	2009-XX-XX	GU324102.1	Luffa aegyptiaca	Taiwan	Tainan County	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/GU324102.1	
